"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.294,0.087,0.001,4.2
"Sleep Problems","1",0.4,0.094,0,4.2
"Unhealthy Diet","1",0.646,0.085,0,4.2
"Smoking","1",4.304,0,0,4.2
"Alcohol","1",1.733,0.081,0,4.2
"Physical Inactivity","2",-0.093,0.017,0,91.4
"Sleep Problems","2",0.03,0.018,0.088,91.4
"Unhealthy Diet","2",0.11,0.018,0,91.4
"Smoking","2",-0.277,0,0,91.4
"Alcohol","2",0.041,0.017,0.016,91.4
"Physical Inactivity","3",0.019,0.078,0.806,4.4
"Sleep Problems","3",0.479,0.086,0,4.4
"Unhealthy Diet","3",0.501,0.08,0,4.4
"Smoking","3",1.936,0.059,0,4.4
"Alcohol","3",1.241,0.078,0,4.4
