"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.401,0.038,0,4.2
"Sleep Problems","1",0.437,0.042,0,4.2
"Unhealthy Diet","1",0.673,0.038,0,4.2
"Smoking","1",4.285,0.004,0,4.2
"Alcohol","1",1.503,0.037,0,4.2
"Physical Inactivity","2",-0.028,0.007,0,92.1
"Sleep Problems","2",-0.033,0.007,0,92.1
"Unhealthy Diet","2",-0.046,0.007,0,92.1
"Smoking","2",-0.273,0,0,92.1
"Alcohol","2",-0.113,0.007,0,92.1
"Physical Inactivity","3",0.25,0.036,0,3.7
"Sleep Problems","3",0.318,0.041,0,3.7
"Unhealthy Diet","3",0.384,0.038,0,3.7
"Smoking","3",1.934,0.027,0,3.7
"Alcohol","3",1.092,0.038,0,3.7
