"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.161,0.026,0,4.8
"Sleep Problems","1",0.205,0.025,0,4.8
"Unhealthy Diet","1",0.431,0.025,0,4.8
"Smoking","1",3.819,0.002,0,4.8
"Alcohol","1",1.498,0.031,0,4.8
"Physical Inactivity","2",0.021,0.021,0.317,6.5
"Sleep Problems","2",0.229,0.021,0,6.5
"Unhealthy Diet","2",0.289,0.021,0,6.5
"Smoking","2",1.617,0.014,0,6.5
"Alcohol","2",0.903,0.025,0,6.5
"Physical Inactivity","3",-0.01,0.006,0.065,88.7
"Sleep Problems","3",-0.028,0.006,0,88.7
"Unhealthy Diet","3",-0.045,0.006,0,88.7
"Smoking","3",-0.325,0,0,88.7
"Alcohol","3",-0.149,0.005,0,88.7
