"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.011,0.006,0.048,88
"Sleep Problems","1",-0.032,0.006,0,88
"Undietary Behavior","1",-0.047,0.006,0,88
"Smoking","1",-0.331,0,0,88
"Alcohol","1",-0.152,0.005,0,88
"Physical Inactivity","2",0.074,0.033,0.024,2.7
"Sleep Problems","2",0.231,0.033,0,2.7
"Undietary Behavior","2",0.34,0.033,0,2.7
"Smoking","2",2.412,0.005,0,2.7
"Alcohol","2",1.01,0.04,0,2.7
"Physical Inactivity","3",0,0.025,0.985,4.5
"Sleep Problems","3",0.263,0.025,0,4.5
"Undietary Behavior","3",0.255,0.025,0,4.5
"Smoking","3",0.952,0.006,0,4.5
"Alcohol","3",0.746,0.029,0,4.5
"Physical Inactivity","4",0.161,0.026,0,4.8
"Sleep Problems","4",0.205,0.025,0,4.8
"Undietary Behavior","4",0.431,0.025,0,4.8
"Smoking","4",3.819,0.002,0,4.8
"Alcohol","4",1.498,0.031,0,4.8
