"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.078,0.052,0.135,8.4
"Sleep Problems","1",0.043,0.047,0.359,8.4
"Unhealthy Diet","1",0.279,0.045,0,8.4
"Smoking","1",1.642,0.031,0,8.4
"Alcohol","1",1.024,0.054,0,8.4
"Physical Inactivity","2",0.062,0.018,0,68.3
"Sleep Problems","2",-0.524,0.007,0,68.3
"Unhealthy Diet","2",-0.083,0.016,0,68.3
"Smoking","2",-0.34,0,0,68.3
"Alcohol","2",0.008,0.016,0.612,68.3
"Physical Inactivity","3",0.097,0.039,0.012,16.4
"Sleep Problems","3",1.603,0.023,0,16.4
"Unhealthy Diet","3",0.069,0.036,0.059,16.4
"Smoking","3",-0.34,0,0,16.4
"Alcohol","3",0.175,0.04,0,16.4
"Physical Inactivity","4",0.128,0.057,0.024,6.9
"Sleep Problems","4",0.222,0.059,0,6.9
"Unhealthy Diet","4",0.376,0.051,0,6.9
"Smoking","4",3.567,0,0,6.9
"Alcohol","4",1.335,0.067,0,6.9
