"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.079,0.03,0.009,4.2
"Sleep Problems","1",0.124,0.03,0,4.2
"Undietary Behavior","1",0.163,0.028,0,4.2
"Smoking","1",0.879,0.006,0,4.2
"Alcohol","1",0.931,0.032,0,4.2
"Physical Inactivity","2",0.139,0.038,0,2.4
"Sleep Problems","2",0.186,0.041,0,2.4
"Undietary Behavior","2",0.273,0.037,0,2.4
"Smoking","2",2.215,0.005,0,2.4
"Alcohol","2",1.254,0.046,0,2.4
"Physical Inactivity","3",-0.019,0.006,0.003,87.4
"Sleep Problems","3",-0.025,0.006,0,87.4
"Undietary Behavior","3",-0.05,0.006,0,87.4
"Smoking","3",-0.344,0,0,87.4
"Alcohol","3",-0.181,0.005,0,87.4
"Physical Inactivity","4",0.17,0.027,0,6
"Sleep Problems","4",0.199,0.027,0,6
"Undietary Behavior","4",0.504,0.026,0,6
"Smoking","4",3.525,0.002,0,6
"Alcohol","4",1.486,0.031,0,6
