term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.6895008641046162,NA,0.05478477850544446,-12.585628397422365,1.0055705931740876e-35
profile2,0.02931777144882572,0.007666041780459785,0.17209282536324091,0.17036021918371042,0.8647345104058948
profile3,0.22635658580891305,0.06303275134872606,0.1658527638501275,1.3648044238410142,0.1723827331624471
profile4,0.07161976410785692,0.02249576585976036,0.14043909756550552,0.5099702671789887,0.6100972914504346
age,0.03505476177346613,0.035104727817540926,0.015805946813430165,2.2178210636315963,0.026616768897235903
sex,0.3924578221416872,0.19648808786578037,0.03368594588042657,11.650491381028052,6.312687304484395e-31
fas,-0.01742168433866523,-0.017383519558549526,0.014456580029270581,-1.2051041327472427,0.2282264455791705
profile2:sex,0.33224841550112644,0.1338885743095538,0.11099265658508602,2.993427004303007,0.002773624242667655
profile3:sex,0.10131378801075304,0.045057137411974334,0.10386843528800076,0.9754049700453816,0.3294118261940062
profile4:sex,0.10599694070994613,0.04709856418911348,0.09766627255289442,1.0852972877872447,0.2778481178182426
