term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),0.3475899230793935,NA,0.055427189130289566,6.271108611738068,3.9227315694143754e-10
profile2,-0.0995880616253783,-0.026111599945065095,0.17423933449900236,-0.571559010551366,0.5676494254095356
profile3,0.012047231447962482,0.003361120650985598,0.16821564490939578,0.07161778236769449,0.9429092828169262
profile4,-0.16671761755036202,-0.05255795492976828,0.14209217586092274,-1.1733061059853305,0.24073540874096488
age,-0.044298131744834025,-0.04451400832338049,0.01600066077633824,-2.768518898315878,0.0056543119288053195
sex,-0.17160178451449662,-0.086221687769575,0.03408394462457573,-5.034680885814069,4.974194988592852e-7
fas,0.08517081691915418,0.08523747983605486,0.01464055354058059,5.817458792324913,6.390637091556534e-9
profile2:sex,-0.2918356619736132,-0.117901972359061,0.11241916018858746,-2.5959601680358375,0.009463477304047872
profile3:sex,-0.21848446346451084,-0.09742881154655549,0.10528458561932814,-2.0751799722560853,0.03802675814700812
profile4:sex,-0.004357404669686425,-0.0019422217035937358,0.09886655314874714,-0.044073597499961426,0.9648477013730278
