"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.112,0.057,0.05,5
"Sleep Problems","1",0.278,0.058,0,5
"Unhealthy Diet","1",0.211,0.055,0,5
"Smoking","1",1.526,0,0,5
"Alcohol","1",1.558,0.061,0,5
"Physical Inactivity","2",-0.017,0.013,0.196,90.1
"Sleep Problems","2",-0.05,0.013,0,90.1
"Unhealthy Diet","2",0.124,0.013,0,90.1
"Smoking","2",-0.257,0,0,90.1
"Alcohol","2",0.145,0.014,0,90.1
"Physical Inactivity","3",0.217,0.065,0.001,5
"Sleep Problems","3",0.452,0.063,0,5
"Unhealthy Diet","3",0.649,0.059,0,5
"Smoking","3",4.403,0.051,0,5
"Alcohol","3",1.817,0.071,0,5
