"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.138,0.143,0.334,1.1
"Sleep Problems","1",0.377,0.148,0.011,1.1
"Unhealthy Diet","1",-0.14,0.141,0.321,1.1
"Smoking","1",2.347,0.047,0,1.1
"Alcohol","1",0.628,0.158,0,1.1
"Physical Inactivity","2",-0.184,0.013,0,93.6
"Sleep Problems","2",0.036,0.014,0.011,93.6
"Unhealthy Diet","2",-0.447,0.013,0,93.6
"Smoking","2",-0.293,0,0,93.6
"Alcohol","2",-0.529,0.008,0,93.6
"Physical Inactivity","3",0.313,0.107,0.003,2.5
"Sleep Problems","3",0.822,0.108,0,2.5
"Unhealthy Diet","3",0.312,0.1,0.002,2.5
"Smoking","3",3.942,0.028,0,2.5
"Alcohol","3",1.041,0.124,0,2.5
"Physical Inactivity","4",0.218,0.085,0.01,2.8
"Sleep Problems","4",0.572,0.098,0,2.8
"Unhealthy Diet","4",0.01,0.079,0.901,2.8
"Smoking","4",0.662,0.027,0,2.8
"Alcohol","4",0.42,0.086,0,2.8
