"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.039,0.014,0.007,96.9
"Sleep Problems","1",0.136,0.015,0,96.9
"Unhealthy Diet","1",-0.185,0.014,0,96.9
"Smoking","1",-0.275,0.001,0,96.9
"Alcohol","1",-0.637,0.007,0,96.9
"Physical Inactivity","2",0.206,0.172,0.231,1.3
"Sleep Problems","2",0.682,0.14,0,1.3
"Unhealthy Diet","2",0.763,0.123,0,1.3
"Smoking","2",3.907,0.043,0,1.3
"Alcohol","2",0.955,0.165,0,1.3
"Physical Inactivity","3",0.562,0.103,0,1.9
"Sleep Problems","3",0.71,0.117,0,1.9
"Unhealthy Diet","3",0.432,0.103,0,1.9
"Smoking","3",1.957,0.068,0,1.9
"Alcohol","3",0.554,0.103,0,1.9
