"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.072,0.033,0.03,4.6
"Sleep Problems","1",0.119,0.032,0,4.6
"Unhealthy Diet","1",0.374,0.031,0,4.6
"Smoking","1",1.787,0.023,0,4.6
"Alcohol","1",1.214,0.037,0,4.6
"Physical Inactivity","2",0.29,0.037,0,4.3
"Sleep Problems","2",0.16,0.035,0,4.3
"Unhealthy Diet","2",0.636,0.033,0,4.3
"Smoking","2",4.171,0.004,0,4.3
"Alcohol","2",1.639,0.04,0,4.3
"Physical Inactivity","3",-0.017,0.007,0.013,91.1
"Sleep Problems","3",-0.014,0.007,0.052,91.1
"Unhealthy Diet","3",-0.049,0.007,0,91.1
"Smoking","3",-0.288,0,0,91.1
"Alcohol","3",-0.139,0.006,0,91.1
