"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.053,0.031,0.089,23.2
"Sleep Problems","1",1.508,0.019,0,23.2
"Unhealthy Diet","1",-0.039,0.032,0.215,23.2
"Smoking","1",-0.343,0,0,23.2
"Alcohol","1",0.027,0.027,0.327,23.2
"Physical Inactivity","2",-0.072,0.017,0,66.8
"Sleep Problems","2",-0.555,0.009,0,66.8
"Unhealthy Diet","2",-0.066,0.017,0,66.8
"Smoking","2",-0.343,0,0,66.8
"Alcohol","2",-0.092,0.014,0,66.8
"Physical Inactivity","3",0.141,0.056,0.011,6.1
"Sleep Problems","3",0.188,0.062,0.002,6.1
"Unhealthy Diet","3",0.257,0.054,0,6.1
"Smoking","3",1.504,0.037,0,6.1
"Alcohol","3",0.816,0.054,0,6.1
"Physical Inactivity","4",0.258,0.078,0.001,3.9
"Sleep Problems","4",0.184,0.081,0.022,3.9
"Unhealthy Diet","4",0.57,0.08,0,3.9
"Smoking","4",3.623,0,0,3.9
"Alcohol","4",1.153,0.077,0,3.9
