"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.117,0.02,0,67
"Sleep Problems","1",-0.557,0.011,0,67
"Unhealthy Diet","1",0.014,0.021,0.515,67
"Smoking","1",-0.368,0,0,67
"Alcohol","1",0.04,0.018,0.026,67
"Physical Inactivity","2",0.189,0.046,0,15.5
"Sleep Problems","2",1.577,0.028,0,15.5
"Unhealthy Diet","2",0.086,0.048,0.074,15.5
"Smoking","2",-0.368,0,0,15.5
"Alcohol","2",0.154,0.043,0,15.5
"Physical Inactivity","3",0.274,0.065,0,7.8
"Sleep Problems","3",0.11,0.066,0.098,7.8
"Unhealthy Diet","3",0.448,0.067,0,7.8
"Smoking","3",3.443,0,0,7.8
"Alcohol","3",1.755,0.07,0,7.8
"Physical Inactivity","4",0.198,0.053,0,9.8
"Sleep Problems","4",0.071,0.06,0.238,9.8
"Unhealthy Diet","4",0.417,0.062,0,9.8
"Smoking","4",1.463,0.034,0,9.8
"Alcohol","4",1.196,0.06,0,9.8
