"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.094,0.067,0.16,5.3
"Sleep Problems","1",0.559,0.066,0,5.3
"Unhealthy Diet","1",0.466,0.055,0,5.3
"Smoking","1",3.713,0.045,0,5.3
"Alcohol","1",1.473,0.078,0,5.3
"Physical Inactivity","2",-0.067,0.016,0,77
"Sleep Problems","2",0.012,0.016,0.451,77
"Unhealthy Diet","2",0.096,0.015,0,77
"Smoking","2",-0.292,0,0,77
"Alcohol","2",-0.322,0.008,0,77
"Physical Inactivity","3",-0.121,0.041,0.003,13.7
"Sleep Problems","3",0.036,0.04,0.367,13.7
"Unhealthy Diet","3",0.176,0.04,0,13.7
"Smoking","3",-0.292,0,0,13.7
"Alcohol","3",1.838,0.027,0,13.7
"Physical Inactivity","4",0.056,0.066,0.402,4
"Sleep Problems","4",0.291,0.07,0,4
"Unhealthy Diet","4",0.251,0.063,0,4
"Smoking","4",1.264,0,0,4
"Alcohol","4",0.921,0.08,0,4
