"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.158,0.045,0,8.9
"Sleep Problems","1",0.086,0.047,0.068,8.9
"Unhealthy Diet","1",0.365,0.044,0,8.9
"Smoking","1",1.627,0.031,0,8.9
"Alcohol","1",1.245,0.044,0,8.9
"Physical Inactivity","2",0.055,0.016,0.001,69.9
"Sleep Problems","2",-0.502,0.008,0,69.9
"Unhealthy Diet","2",0.041,0.016,0.01,69.9
"Smoking","2",-0.337,0,0,69.9
"Alcohol","2",0.076,0.016,0,69.9
"Physical Inactivity","3",0.184,0.059,0.002,6
"Sleep Problems","3",0.237,0.064,0,6
"Unhealthy Diet","3",0.573,0.053,0,6
"Smoking","3",3.74,0,0,6
"Alcohol","3",1.684,0.059,0,6
"Physical Inactivity","4",0.253,0.038,0,15.1
"Sleep Problems","4",1.677,0.025,0,15.1
"Unhealthy Diet","4",0.225,0.037,0,15.1
"Smoking","4",-0.337,0,0,15.1
"Alcohol","4",0.269,0.038,0,15.1
