"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.15,0.047,0.001,2.2
"Sleep Problems","1",0.177,0.047,0,2.2
"Unhealthy Diet","1",0.386,0.044,0,2.2
"Smoking","1",2.546,0.007,0,2.2
"Alcohol","1",1.276,0.049,0,2.2
"Physical Inactivity","2",-0.027,0.007,0,89.3
"Sleep Problems","2",-0.024,0.007,0.001,89.3
"Unhealthy Diet","2",-0.051,0.007,0,89.3
"Smoking","2",-0.312,0,0,89.3
"Alcohol","2",-0.151,0.006,0,89.3
"Physical Inactivity","3",0.153,0.032,0,4
"Sleep Problems","3",0.168,0.034,0,4
"Unhealthy Diet","3",0.287,0.031,0,4
"Smoking","3",1.083,0.006,0,4
"Alcohol","3",0.958,0.034,0,4
"Physical Inactivity","4",0.32,0.034,0,4.5
"Sleep Problems","4",0.234,0.035,0,4.5
"Unhealthy Diet","4",0.56,0.032,0,4.5
"Smoking","4",4.019,0.003,0,4.5
"Alcohol","4",1.499,0.035,0,4.5
