"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.158,0.112,0.158,1.6
"Sleep Problems","1",0.427,0.127,0.001,1.6
"Unhealthy Diet","1",0.076,0.109,0.483,1.6
"Smoking","1",0.412,0,0,1.6
"Alcohol","1",0.389,0.114,0.001,1.6
"Physical Inactivity","2",0.015,0.159,0.924,1.3
"Sleep Problems","2",0.238,0.157,0.128,1.3
"Unhealthy Diet","2",0.472,0.151,0.002,1.3
"Smoking","2",3.812,0.047,0,1.3
"Alcohol","2",1.227,0.192,0,1.3
"Physical Inactivity","3",-0.259,0.015,0,95.7
"Sleep Problems","3",0.176,0.016,0,95.7
"Unhealthy Diet","3",-0.313,0.016,0,95.7
"Smoking","3",-0.312,0,0,95.7
"Alcohol","3",-0.561,0.008,0,95.7
"Physical Inactivity","4",0.14,0.135,0.301,1.5
"Sleep Problems","4",0.389,0.139,0.005,1.5
"Unhealthy Diet","4",0.129,0.122,0.288,1.5
"Smoking","4",1.75,0.07,0,1.5
"Alcohol","4",0.972,0.159,0,1.5
