"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.052,0.02,0.007,64
"Sleep Problems","1",-0.503,0.011,0,64
"Unhealthy Diet","1",-0.106,0.019,0,64
"Smoking","1",-0.368,0,0,64
"Alcohol","1",-0.12,0.017,0,64
"Physical Inactivity","2",0.014,0.04,0.715,18.1
"Sleep Problems","2",1.521,0.023,0,18.1
"Unhealthy Diet","2",-0.059,0.04,0.141,18.1
"Smoking","2",-0.368,0,0,18.1
"Alcohol","2",-0.008,0.038,0.832,18.1
"Physical Inactivity","3",0.135,0.06,0.024,7.8
"Sleep Problems","3",0.171,0.059,0.004,7.8
"Unhealthy Diet","3",0.522,0.06,0,7.8
"Smoking","3",3.443,0,0,7.8
"Alcohol","3",1.658,0.066,0,7.8
"Physical Inactivity","4",-0.018,0.05,0.718,10.2
"Sleep Problems","4",0.119,0.052,0.021,10.2
"Unhealthy Diet","4",0.196,0.044,0,10.2
"Smoking","4",1.46,0.03,0,10.2
"Alcohol","4",0.978,0.051,0,10.2
