"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.231,0.067,0.001,6.8
"Sleep Problems","1",0.244,0.063,0,6.8
"Unhealthy Diet","1",0.526,0.059,0,6.8
"Smoking","1",3.632,0,0,6.8
"Alcohol","1",1.543,0.085,0,6.8
"Physical Inactivity","2",-0.071,0.066,0.288,6.1
"Sleep Problems","2",0.092,0.069,0.185,6.1
"Unhealthy Diet","2",0.22,0.072,0.002,6.1
"Smoking","2",-0.332,0,0,6.1
"Alcohol","2",2.424,0.07,0,6.1
"Physical Inactivity","3",0.143,0.059,0.015,6.6
"Sleep Problems","3",0.132,0.062,0.034,6.6
"Unhealthy Diet","3",0.451,0.059,0,6.6
"Smoking","3",1.497,0.038,0,6.6
"Alcohol","3",1.242,0.079,0,6.6
"Physical Inactivity","4",0.086,0.017,0,80.5
"Sleep Problems","4",-0.119,0.016,0,80.5
"Unhealthy Diet","4",0.005,0.017,0.769,80.5
"Smoking","4",-0.332,0,0,80.5
"Alcohol","4",-0.213,0.013,0,80.5
