"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.01,0.023,0.654,70.6
"Sleep Problems","1",-0.492,0.008,0,70.6
"Unhealthy Diet","1",0.078,0.021,0,70.6
"Smoking","1",-0.275,0,0,70.6
"Alcohol","1",-0.01,0.021,0.644,70.6
"Physical Inactivity","2",0.376,0.07,0,7.1
"Sleep Problems","2",0.298,0.082,0,7.1
"Unhealthy Diet","2",0.7,0.07,0,7.1
"Smoking","2",4.7,0,0,7.1
"Alcohol","2",1.871,0.097,0,7.1
"Physical Inactivity","3",0.117,0.063,0.063,9.2
"Sleep Problems","3",0.136,0.067,0.043,9.2
"Unhealthy Diet","3",0.389,0.058,0,9.2
"Smoking","3",2.133,0.05,0,9.2
"Alcohol","3",1.132,0.08,0,9.2
"Physical Inactivity","4",0.158,0.056,0.005,13.1
"Sleep Problems","4",1.852,0.032,0,13.1
"Unhealthy Diet","4",0.203,0.053,0,13.1
"Smoking","4",-0.275,0,0,13.1
"Alcohol","4",0.105,0.059,0.076,13.1
