"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.054,0.012,0,90.6
"Sleep Problems","1",-0.047,0.013,0,90.6
"Unhealthy Diet","1",-0.12,0.012,0,90.6
"Smoking","1",-0.285,0,0,90.6
"Alcohol","1",-0.064,0.012,0,90.6
"Physical Inactivity","2",0.266,0.06,0,4.1
"Sleep Problems","2",0.261,0.062,0,4.1
"Unhealthy Diet","2",0.191,0.056,0.001,4.1
"Smoking","2",1.775,0.043,0,4.1
"Alcohol","2",1.359,0.056,0,4.1
"Physical Inactivity","3",0.385,0.06,0,5.2
"Sleep Problems","3",0.276,0.06,0,5.2
"Unhealthy Diet","3",0.591,0.054,0,5.2
"Smoking","3",4.115,0,0,5.2
"Alcohol","3",1.484,0.056,0,5.2
