term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),0.28505153374993447,NA,0.04371853582961427,6.520152798823718,7.554857321901969e-11
profile1,0.09054193927750659,0.023974856110811713,0.13979318110981553,0.6476849482835698,0.5172117686810664
profile2,0.05273858116880581,0.011250277717468032,0.17490103403646792,0.3015338443214092,0.7630171563210146
profile3,0.18277569911711783,0.05590247498819563,0.12060423262332863,1.515499872114466,0.129694811968664
age,-0.09983260415031754,-0.10042419945738057,0.012891340565875216,-7.744160015024763,1.1100542348115337e-14
sex,-0.14274454780943058,-0.07182181610576277,0.027149467018693522,-5.257729284745999,1.505286474717149e-7
fas,0.12389628330218416,0.12287739131925532,0.012132325057836334,10.212080760411121,2.6767149901885772e-24
profile1:sex,-0.35361684308742947,-0.1409361066373425,0.09243463363011271,-3.825588193517009,1.316906967510476e-4
profile2:sex,-0.38498205952114245,-0.12562921835849256,0.1137383590582902,-3.384804060025532,7.165345863580617e-4
profile3:sex,-0.2226472924404601,-0.10097006172416136,0.08076403179571957,-2.7567629734435846,0.0058540617161732915
