term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.660906070356949,NA,0.04359471356796203,-15.16023426387763,4.809339984675964e-51
profile1,-0.09152810318638711,-0.024095962280292375,0.13939853792013787,-0.6565929926669964,0.5114659176196266
profile2,0.2029204193386277,0.043218550947715005,0.17362820932517584,1.1687065144961126,0.24256478916318452
profile3,0.0967686728784836,0.0296061303671129,0.1195405934472919,0.8095047053714942,0.41825455157716696
age,0.07157496982239796,0.0715924649983962,0.01284755244661107,5.571097695053817,2.6328946663417777e-8
sex,0.38343814964316114,0.19196485092497945,0.027064659198658237,14.16748486757855,6.756620028476451e-45
fas,-0.004631106800348506,-0.004600815833573032,0.012003413007772742,-0.3858158339923536,0.6996457038164768
profile1:sex,0.34231691798487707,0.13586001910172305,0.09206008949625198,3.7184073995367313,2.021713485417937e-4
profile2:sex,0.205166205786575,0.06687768890061847,0.11286162727074474,1.8178561726245537,0.06913216704084929
profile3:sex,0.15117959276564716,0.06867803138186666,0.07994589235506869,1.8910238951890586,0.058665616154676525
