"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.82,0.127,0,1.9
"Sleep Problems","1",0.721,0.159,0,1.9
"Unhealthy Diet","1",0.57,0.163,0,1.9
"Smoking","1",3.689,0.104,0,1.9
"Alcohol","1",1.784,0.212,0,1.9
"Physical Inactivity","2",-0.175,0.018,0,96.5
"Sleep Problems","2",-0.049,0.017,0.003,96.5
"Unhealthy Diet","2",-0.26,0.016,0,96.5
"Smoking","2",-0.283,0,0,96.5
"Alcohol","2",-0.363,0.011,0,96.5
"Physical Inactivity","3",0.238,0.136,0.081,1.6
"Sleep Problems","3",0.222,0.154,0.149,1.6
"Unhealthy Diet","3",0.214,0.124,0.086,1.6
"Smoking","3",1.339,0,0,1.6
"Alcohol","3",1.306,0.17,0,1.6
