"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.037,0.013,0.005,91.7
"Sleep Problems","1",-0.001,0.013,0.956,91.7
"Unhealthy Diet","1",-0.005,0.014,0.697,91.7
"Smoking","1",-0.285,0,0,91.7
"Alcohol","1",-0.186,0.011,0,91.7
"Physical Inactivity","2",0.195,0.077,0.011,3.1
"Sleep Problems","2",0.3,0.08,0,3.1
"Unhealthy Diet","2",0.424,0.08,0,3.1
"Smoking","2",4.263,0.006,0,3.1
"Alcohol","2",1.267,0.089,0,3.1
"Physical Inactivity","3",-0.036,0.071,0.613,3.1
"Sleep Problems","3",0.234,0.075,0.002,3.1
"Unhealthy Diet","3",0.222,0.077,0.004,3.1
"Smoking","3",1.221,0.007,0,3.1
"Alcohol","3",0.988,0.088,0,3.1
"Physical Inactivity","4",0.084,0.086,0.331,2.1
"Sleep Problems","4",0.313,0.093,0.001,2.1
"Unhealthy Diet","4",0.314,0.083,0,2.1
"Smoking","4",2.74,0.009,0,2.1
"Alcohol","4",1.048,0.102,0,2.1
