"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.065,0.029,0.026,4.1
"Sleep Problems","1",0.162,0.029,0,4.1
"Undietary Behavior","1",0.357,0.029,0,4.1
"Smoking","1",1.115,0.008,0,4.1
"Alcohol","1",0.979,0.035,0,4.1
"Physical Inactivity","2",0.155,0.037,0,2.4
"Sleep Problems","2",0.186,0.039,0,2.4
"Undietary Behavior","2",0.35,0.039,0,2.4
"Smoking","2",2.713,0.007,0,2.4
"Alcohol","2",1.319,0.047,0,2.4
"Physical Inactivity","3",-0.019,0.006,0.002,89.8
"Sleep Problems","3",-0.021,0.006,0.001,89.8
"Undietary Behavior","3",-0.051,0.006,0,89.8
"Smoking","3",-0.302,0,0,89.8
"Alcohol","3",-0.15,0.005,0,89.8
"Physical Inactivity","4",0.281,0.033,0,3.8
"Sleep Problems","4",0.214,0.033,0,3.8
"Undietary Behavior","4",0.599,0.031,0,3.8
"Smoking","4",4.279,0.004,0,3.8
"Alcohol","4",1.694,0.039,0,3.8
