term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),0.36859069235694636,NA,0.04066184252346211,9.064780872737566,1.6359509527562594e-19
profile1,-0.2188367168832981,-0.03076592405763379,0.2711494767363495,-0.8070704008626305,0.41965618499671664
profile2,0.31643922207621533,0.06084787197416797,0.1950915442340976,1.6220037793975741,0.10485223832778894
profile4,-0.06658373656228032,-0.010115556818515174,0.249247191535364,-0.26713936535101623,0.7893705440920005
age,-0.08637016426141962,-0.08629671840602754,0.012571756683312162,-6.8701746650941775,7.023542808730894e-12
sex,-0.22359001872980186,-0.11185175483233324,0.02553310007251267,-8.756869244032957,2.541525713285702e-18
fas,0.08615642169630487,0.08445612722199715,0.012496792678417174,6.8942827102431625,5.937200834306632e-12
profile1:sex,-0.2820259704814077,-0.06157023987656719,0.17449445347162237,-1.6162460460513888,0.10609085702425658
profile2:sex,-0.4283481878166029,-0.1249364306032121,0.128566152021389,-3.3317337501501987,8.680038464238994e-4
profile4:sex,-0.24726306899805015,-0.05778133811191116,0.16188375416431863,-1.527411260471931,0.12670863911556074
