term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.26370363562625737,NA,0.04088534708777697,-6.449832382738751,1.2012476942480163e-10
profile1,-0.14840009393895293,-0.02080933668327308,0.27271688141223194,-0.5441544108691794,0.5863541090267188
profile2,0.02027139011624403,0.003888769902272781,0.19655008508175761,0.10313600275376057,0.9178582511077449
profile4,0.2376819972833188,0.03611216969933739,0.25051269147240085,0.9487822588401849,0.3427670625262347
age,0.03675005316882527,0.036811712901802955,0.012602617539662062,2.91606509942622,0.003557031370959632
sex,0.15197689412515997,0.07600473641002181,0.025662688238681904,5.922095639851246,3.342929301309441e-9
fas,-0.05690029310979723,-0.05587697917447438,0.012535449445586695,-4.5391506189536655,5.751069708194073e-6
profile1:sex,0.37120787029155533,0.08064670725047043,0.17587843564366473,2.110593427403654,0.03484582599365911
profile2:sex,0.20001352033374434,0.05822125897884332,0.12947436221627068,1.5448117828890855,0.12244106158491558
profile4:sex,0.2654829713502522,0.06206835156112593,0.16264026308608218,1.632332402276904,0.10265850033627077
