"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.112,0.014,0,70.9
"Sleep Problems","1",-0.477,0.008,0,70.9
"Unhealthy Diet","1",-0.065,0.014,0,70.9
"Smoking","1",-0.344,0,0,70.9
"Alcohol","1",-0.115,0.012,0,70.9
"Physical Inactivity","2",0.088,0.045,0.052,6.7
"Sleep Problems","2",0.134,0.05,0.007,6.7
"Unhealthy Diet","2",0.269,0.042,0,6.7
"Smoking","2",1.464,0.029,0,6.7
"Alcohol","2",1.006,0.052,0,6.7
"Physical Inactivity","3",0.137,0.051,0.008,6.7
"Sleep Problems","3",0.171,0.052,0.001,6.7
"Unhealthy Diet","3",0.477,0.047,0,6.7
"Smoking","3",3.535,0,0,6.7
"Alcohol","3",1.456,0.054,0,6.7
"Physical Inactivity","4",0.001,0.034,0.971,15.8
"Sleep Problems","4",1.62,0.019,0,15.8
"Unhealthy Diet","4",0.072,0.033,0.03,15.8
"Smoking","4",-0.344,0,0,15.8
"Alcohol","4",-0.027,0.029,0.353,15.8
