"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.09,0.054,0.097,9.6
"Sleep Problems","1",0.147,0.056,0.009,9.6
"Unhealthy Diet","1",0.17,0.051,0.001,9.6
"Smoking","1",-0.292,0,0,9.6
"Alcohol","1",2.535,0.041,0,9.6
"Physical Inactivity","2",-0.189,0.07,0.007,5.3
"Sleep Problems","2",0.568,0.072,0,5.3
"Unhealthy Diet","2",0.264,0.061,0,5.3
"Smoking","2",1.934,0.052,0,5.3
"Alcohol","2",1.473,0.093,0,5.3
"Physical Inactivity","3",-0.054,0.017,0.002,80.9
"Sleep Problems","3",-0.156,0.017,0,80.9
"Unhealthy Diet","3",-0.014,0.017,0.415,80.9
"Smoking","3",-0.292,0,0,80.9
"Alcohol","3",-0.331,0.008,0,80.9
"Physical Inactivity","4",0.232,0.084,0.006,4.2
"Sleep Problems","4",0.585,0.088,0,4.2
"Unhealthy Diet","4",0.496,0.07,0,4.2
"Smoking","4",4.375,0,0,4.2
"Alcohol","4",1.732,0.105,0,4.2
