"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.19,0.082,0.02,3.6
"Sleep Problems","1",0.084,0.079,0.286,3.6
"Unhealthy Diet","1",0.544,0.076,0,3.6
"Smoking","1",1.339,0,0,3.6
"Alcohol","1",1.175,0.091,0,3.6
"Physical Inactivity","2",-0.079,0.015,0,92.1
"Sleep Problems","2",-0.041,0.015,0.008,92.1
"Unhealthy Diet","2",-0.079,0.015,0,92.1
"Smoking","2",-0.283,0,0,92.1
"Alcohol","2",-0.15,0.013,0,92.1
"Physical Inactivity","3",0.656,0.077,0,4.3
"Sleep Problems","3",0.31,0.084,0,4.3
"Unhealthy Diet","3",0.899,0.092,0,4.3
"Smoking","3",4.141,0.051,0,4.3
"Alcohol","3",1.927,0.089,0,4.3
