"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.204,0.105,0.052,3.7
"Sleep Problems","1",0.627,0.113,0,3.7
"Unhealthy Diet","1",0.142,0.096,0.138,3.7
"Smoking","1",0.37,0.025,0,3.7
"Alcohol","1",0.102,0.088,0.247,3.7
"Physical Inactivity","2",-0.074,0.017,0,90.7
"Sleep Problems","2",0.12,0.018,0,90.7
"Unhealthy Diet","2",-0.186,0.017,0,90.7
"Smoking","2",-0.378,0,0,90.7
"Alcohol","2",-0.598,0.008,0,90.7
"Physical Inactivity","3",0.07,0.118,0.554,3.6
"Sleep Problems","3",0.703,0.115,0,3.6
"Unhealthy Diet","3",0.234,0.091,0.01,3.6
"Smoking","3",3.094,0.027,0,3.6
"Alcohol","3",0.396,0.104,0,3.6
"Physical Inactivity","4",0.171,0.151,0.257,2.1
"Sleep Problems","4",0.539,0.135,0,2.1
"Unhealthy Diet","4",0.231,0.128,0.071,2.1
"Smoking","4",1.689,0.043,0,2.1
"Alcohol","4",0.971,0.156,0,2.1
