"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.302,0.101,0.003,4.4
"Sleep Problems","1",0.542,0.128,0,4.4
"Unhealthy Diet","1",-0.187,0.072,0.009,4.4
"Smoking","1",3.774,0.08,0,4.4
"Alcohol","1",1.511,0.109,0,4.4
"Physical Inactivity","2",0.242,0.13,0.062,2.6
"Sleep Problems","2",0.565,0.169,0.001,2.6
"Unhealthy Diet","2",-0.097,0.08,0.224,2.6
"Smoking","2",1.299,0,0,2.6
"Alcohol","2",1.254,0.119,0,2.6
"Physical Inactivity","3",-0.062,0.021,0.004,93.1
"Sleep Problems","3",-0.051,0.021,0.017,93.1
"Unhealthy Diet","3",-0.089,0.015,0,93.1
"Smoking","3",-0.297,0,0,93.1
"Alcohol","3",-0.188,0.018,0,93.1
