"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.006,0.016,0.699,92.4
"Sleep Problems","1",-0.095,0.015,0,92.4
"Unhealthy Diet","1",-0.178,0.014,0,92.4
"Smoking","1",-0.277,0,0,92.4
"Alcohol","1",-0.069,0.014,0,92.4
"Physical Inactivity","2",0.295,0.08,0,4.4
"Sleep Problems","2",0.404,0.088,0,4.4
"Unhealthy Diet","2",0.418,0.07,0,4.4
"Smoking","2",4.304,0,0,4.4
"Alcohol","2",1.395,0.07,0,4.4
"Physical Inactivity","3",0.205,0.089,0.021,3.2
"Sleep Problems","3",0.33,0.094,0,3.2
"Unhealthy Diet","3",0.197,0.087,0.023,3.2
"Smoking","3",1.888,0.065,0,3.2
"Alcohol","3",1.075,0.079,0,3.2
