"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.007,0.008,0.354,87.8
"Sleep Problems","1",-0.039,0.008,0,87.8
"Unhealthy Diet","1",-0.047,0.008,0,87.8
"Smoking","1",-0.34,0,0,87.8
"Alcohol","1",-0.124,0.007,0,87.8
"Physical Inactivity","2",0.025,0.048,0.6,2.8
"Sleep Problems","2",0.11,0.046,0.018,2.8
"Unhealthy Diet","2",0.267,0.041,0,2.8
"Smoking","2",2.223,0.007,0,2.8
"Alcohol","2",0.817,0.052,0,2.8
"Physical Inactivity","3",0.034,0.04,0.393,3.6
"Sleep Problems","3",0.336,0.044,0,3.6
"Unhealthy Diet","3",0.245,0.04,0,3.6
"Smoking","3",0.817,0.011,0,3.6
"Alcohol","3",0.657,0.046,0,3.6
"Physical Inactivity","4",0.079,0.033,0.017,5.9
"Sleep Problems","4",0.317,0.035,0,5.9
"Unhealthy Diet","4",0.431,0.03,0,5.9
"Smoking","4",3.538,0.004,0,5.9
"Alcohol","4",1.069,0.041,0,5.9
