"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.083,0.014,0,94.4
"Sleep Problems","1",-0.049,0.014,0,94.4
"Unhealthy Diet","1",-0.079,0.014,0,94.4
"Smoking","1",-0.265,0,0,94.4
"Alcohol","1",-0.129,0.012,0,94.4
"Physical Inactivity","2",0.298,0.087,0.001,3.2
"Sleep Problems","2",0.489,0.082,0,3.2
"Unhealthy Diet","2",0.288,0.08,0,3.2
"Smoking","2",1.87,0.059,0,3.2
"Alcohol","2",1.166,0.087,0,3.2
"Physical Inactivity","3",0.31,0.102,0.002,2.4
"Sleep Problems","3",0.502,0.095,0,2.4
"Unhealthy Diet","3",0.663,0.092,0,2.4
"Smoking","3",4.545,0.006,0,2.4
"Alcohol","3",1.239,0.109,0,2.4
