"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.229,0.17,0.178,1.3
"Sleep Problems","1",0.366,0.22,0.097,1.3
"Unhealthy Diet","1",0.475,0.201,0.018,1.3
"Smoking","1",7.114,0,0,1.3
"Alcohol","1",1.768,0.22,0,1.3
"Physical Inactivity","2",0.105,0.018,0,97.7
"Sleep Problems","2",-0.046,0.018,0.011,97.7
"Unhealthy Diet","2",-0.088,0.018,0,97.7
"Smoking","2",-0.171,0,0,97.7
"Alcohol","2",0.122,0.016,0,97.7
"Physical Inactivity","3",0.308,0.154,0.045,1.1
"Sleep Problems","3",0.274,0.221,0.216,1.1
"Unhealthy Diet","3",0.19,0.158,0.229,1.1
"Smoking","3",3.471,0.197,0,1.1
"Alcohol","3",1.316,0.231,0,1.1
