"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.261,0.068,0,5.2
"Sleep Problems","1",0.081,0.071,0.256,5.2
"Unhealthy Diet","1",0.529,0.07,0,5.2
"Smoking","1",4.029,0,0,5.2
"Alcohol","1",1.63,0.071,0,5.2
"Physical Inactivity","2",-0.049,0.018,0.007,69
"Sleep Problems","2",-0.544,0.009,0,69
"Unhealthy Diet","2",0.027,0.018,0.132,69
"Smoking","2",-0.312,0,0,69
"Alcohol","2",0.106,0.018,0,69
"Physical Inactivity","3",0.019,0.04,0.637,18.6
"Sleep Problems","3",1.541,0.022,0,18.6
"Unhealthy Diet","3",0.103,0.036,0.004,18.6
"Smoking","3",-0.312,0,0,18.6
"Alcohol","3",0.209,0.038,0,18.6
"Physical Inactivity","4",0.152,0.056,0.006,7.3
"Sleep Problems","4",0.151,0.061,0.013,7.3
"Unhealthy Diet","4",0.371,0.054,0,7.3
"Smoking","4",1.703,0.04,0,7.3
"Alcohol","4",1.257,0.058,0,7.3
