"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.288,0.06,0,7.3
"Sleep Problems","1",0.142,0.054,0.009,7.3
"Unhealthy Diet","1",0.571,0.049,0,7.3
"Smoking","1",3.623,0,0,7.3
"Alcohol","1",1.488,0.052,0,7.3
"Physical Inactivity","2",0.073,0.039,0.064,19.3
"Sleep Problems","2",1.389,0.024,0,19.3
"Unhealthy Diet","2",0.282,0.035,0,19.3
"Smoking","2",-0.343,0,0,19.3
"Alcohol","2",0.291,0.039,0,19.3
"Physical Inactivity","3",0.091,0.052,0.079,8.3
"Sleep Problems","3",0.158,0.05,0.002,8.3
"Unhealthy Diet","3",0.436,0.044,0,8.3
"Smoking","3",1.526,0.033,0,8.3
"Alcohol","3",1.2,0.049,0,8.3
"Physical Inactivity","4",0.007,0.019,0.729,65.1
"Sleep Problems","4",-0.495,0.011,0,65.1
"Unhealthy Diet","4",0.265,0.017,0,65.1
"Smoking","4",-0.343,0,0,65.1
"Alcohol","4",0.197,0.018,0,65.1
