"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.248,0.03,0,8.9
"Sleep Problems","1",0.34,0.031,0,8.9
"Unhealthy Diet","1",0.295,0.028,0,8.9
"Smoking","1",2.905,0.004,0,8.9
"Alcohol","1",0.892,0.032,0,8.9
"Physical Inactivity","2",0.065,0.04,0.105,4.5
"Sleep Problems","2",0.292,0.042,0,4.5
"Unhealthy Diet","2",0.08,0.037,0.032,4.5
"Smoking","2",0.524,0.01,0,4.5
"Alcohol","2",0.265,0.04,0,4.5
"Physical Inactivity","3",0.172,0.049,0,3.1
"Sleep Problems","3",0.235,0.05,0,3.1
"Unhealthy Diet","3",0.213,0.047,0,3.1
"Smoking","3",1.739,0.01,0,3.1
"Alcohol","3",0.647,0.053,0,3.1
"Physical Inactivity","4",-0.037,0.009,0,83.5
"Sleep Problems","4",-0.061,0.009,0,83.5
"Unhealthy Diet","4",-0.044,0.009,0,83.5
"Smoking","4",-0.403,0,0,83.5
"Alcohol","4",-0.134,0.008,0,83.5
