"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.129,0.04,0.001,16.5
"Sleep Problems","1",1.713,0.023,0,16.5
"Unhealthy Diet","1",0.138,0.039,0,16.5
"Smoking","1",-0.345,0,0,16.5
"Alcohol","1",0.085,0.04,0.032,16.5
"Physical Inactivity","2",-0.023,0.018,0.196,70
"Sleep Problems","2",-0.48,0.008,0,70
"Unhealthy Diet","2",-0.091,0.017,0,70
"Smoking","2",-0.345,0,0,70
"Alcohol","2",-0.128,0.016,0,70
"Physical Inactivity","3",0.167,0.055,0.002,7.7
"Sleep Problems","3",0.288,0.062,0,7.7
"Unhealthy Diet","3",0.154,0.052,0.003,7.7
"Smoking","3",1.598,0.037,0,7.7
"Alcohol","3",1.149,0.058,0,7.7
"Physical Inactivity","4",0.269,0.068,0,5.7
"Sleep Problems","4",0.452,0.075,0,5.7
"Unhealthy Diet","4",0.53,0.059,0,5.7
"Smoking","4",3.66,0,0,5.7
"Alcohol","4",1.642,0.07,0,5.7
