y.level,term,estimate,std.error,statistic,p.value,odds_ratio,conf.low,conf.high
2,(Intercept),-2.1426372651085575,0.1171088852269389,-18.296111870217686,8.886932424754835e-75,0.11734496480453473,0.09327802959522824,0.1476214798353964
2,age,0.04286130353499412,0.03600520805052764,1.1904195491620275,0.23388153318724697,1.0437931143954118,0.9726714661304751,1.1201151710490562
2,sex,0.4519592765939939,0.0717174695441007,6.301941207170923,2.939406737654491e-10,1.571387955004955,1.3653257383033948,1.8085501766069758
2,fas,-0.039272342021324416,0.035693460430796346,-1.100267151106487,0.271215740095037,0.9614888196775999,0.8965228264995853,1.0311625348955373
3,(Intercept),-4.213876488594525,0.25614337165668166,-16.451241589193014,8.216645871614509e-61,0.014788927965958307,0.008951649186327418,0.024432636470647313
3,age,1.6169898364620379,0.12210146677816637,13.24300091660472,4.952951358675826e-40,5.037902558624631,3.9656547012791585,6.400068614650162
3,sex,0.24138552539600794,0.1414235261055724,1.706827230540229,0.08785416953116172,1.2730117190637418,0.9648288163418439,1.67963353646296
3,fas,-0.3005943491471446,0.06926784832665768,-4.339594146617387,1.4274610233385317e-5,0.7403780468255021,0.6463854173209331,0.8480383955645179
4,(Intercept),-3.4220078231113997,0.19589371158532054,-17.468696648901673,2.4809772940801843e-68,0.032646820049707766,0.02223784975796549,0.04792796385254069
4,age,0.9104856941598901,0.07255131287242757,12.549541257245966,3.998195766197694e-36,2.485529447402384,2.156065689756848,2.865337852763249
4,sex,0.3813434893028379,0.11665455633814607,3.2689978109165247,0.0010792913654291932,1.4642504734141872,1.1649760849651714,1.8404064053879443
4,fas,0.11925474838129567,0.06238788238692978,1.9115049881269806,0.055939716391064674,1.1266568957537475,0.9969790711191135,1.2732020134832047
