"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.016,0.04,0.693,15.9
"Sleep Problems","1",1.652,0.022,0,15.9
"Undietary Behavior","1",-0.002,0.04,0.954,15.9
"Smoking","1",-0.38,0,0,15.9
"Alcohol","1",-0.13,0.033,0,15.9
"Physical Inactivity","2",-0.168,0.017,0,65.9
"Sleep Problems","2",-0.494,0.009,0,65.9
"Undietary Behavior","2",-0.054,0.018,0.002,65.9
"Smoking","2",-0.38,0,0,65.9
"Alcohol","2",-0.178,0.015,0,65.9
"Physical Inactivity","3",0.151,0.047,0.001,10
"Sleep Problems","3",0.127,0.047,0.007,10
"Undietary Behavior","3",0.31,0.046,0,10
"Smoking","3",1.364,0.027,0,10
"Alcohol","3",1.156,0.05,0,10
"Physical Inactivity","4",0.423,0.055,0,8.2
"Sleep Problems","4",0.213,0.055,0,8.2
"Undietary Behavior","4",0.68,0.051,0,8.2
"Smoking","4",3.374,0,0,8.2
"Alcohol","4",1.593,0.06,0,8.2
