"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.01,0.042,0.82,15.8
"Sleep Problems","1",1.736,0.027,0,15.8
"Unhealthy Diet","1",0.196,0.043,0,15.8
"Smoking","1",-0.342,0,0,15.8
"Alcohol","1",0.077,0.041,0.058,15.8
"Physical Inactivity","2",-0.072,0.018,0,72.8
"Sleep Problems","2",-0.471,0.008,0,72.8
"Unhealthy Diet","2",0.095,0.018,0,72.8
"Smoking","2",-0.342,0,0,72.8
"Alcohol","2",-0.111,0.015,0,72.8
"Physical Inactivity","3",0.076,0.081,0.345,5.1
"Sleep Problems","3",0.425,0.082,0,5.1
"Unhealthy Diet","3",0.682,0.08,0,5.1
"Smoking","3",3.689,0,0,5.1
"Alcohol","3",1.98,0.09,0,5.1
"Physical Inactivity","4",0.103,0.064,0.108,6.3
"Sleep Problems","4",0.253,0.066,0,6.3
"Unhealthy Diet","4",0.506,0.059,0,6.3
"Smoking","4",1.508,0.04,0,6.3
"Alcohol","4",1.095,0.067,0,6.3
