"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.098,0.051,0.056,6.7
"Sleep Problems","1",0.322,0.063,0,6.7
"Unhealthy Diet","1",0.19,0.053,0,6.7
"Smoking","1",1.792,0.039,0,6.7
"Alcohol","1",1.663,0.061,0,6.7
"Physical Inactivity","2",-0.073,0.015,0,86.8
"Sleep Problems","2",-0.044,0.015,0.003,86.8
"Unhealthy Diet","2",-0.09,0.014,0,86.8
"Smoking","2",-0.306,0,0,86.8
"Alcohol","2",0.032,0.015,0.032,86.8
"Physical Inactivity","3",0.3,0.055,0,6.5
"Sleep Problems","3",0.288,0.066,0,6.5
"Unhealthy Diet","3",0.614,0.055,0,6.5
"Smoking","3",4.041,0,0,6.5
"Alcohol","3",2.053,0.065,0,6.5
