"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.165,0.051,0.001,8.2
"Sleep Problems","1",0.276,0.053,0,8.2
"Unhealthy Diet","1",0.338,0.051,0,8.2
"Smoking","1",3.085,0,0,8.2
"Alcohol","1",1.406,0.063,0,8.2
"Physical Inactivity","2",0.274,0.036,0,17.7
"Sleep Problems","2",1.709,0.021,0,17.7
"Unhealthy Diet","2",-0.124,0.037,0.001,17.7
"Smoking","2",-0.405,0,0,17.7
"Alcohol","2",-0.103,0.033,0.002,17.7
"Physical Inactivity","3",0.106,0.017,0,64
"Sleep Problems","3",-0.403,0.01,0,64
"Unhealthy Diet","3",-0.248,0.017,0,64
"Smoking","3",-0.405,0,0,64
"Alcohol","3",-0.265,0.014,0,64
"Physical Inactivity","4",0.178,0.043,0,10.1
"Sleep Problems","4",0.274,0.047,0,10.1
"Unhealthy Diet","4",0.038,0.046,0.408,10.1
"Smoking","4",1.218,0.025,0,10.1
"Alcohol","4",0.772,0.051,0,10.1
