"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.109,0.035,0.002,2.8
"Sleep Problems","1",0.226,0.036,0,2.8
"Unhealthy Diet","1",0.32,0.033,0,2.8
"Smoking","1",2.237,0.007,0,2.8
"Alcohol","1",1.044,0.036,0,2.8
"Physical Inactivity","2",0.098,0.028,0,4.3
"Sleep Problems","2",0.176,0.029,0,4.3
"Unhealthy Diet","2",0.241,0.027,0,4.3
"Smoking","2",0.812,0.008,0,4.3
"Alcohol","2",0.735,0.029,0,4.3
"Physical Inactivity","3",-0.023,0.006,0,87.2
"Sleep Problems","3",-0.03,0.006,0,87.2
"Unhealthy Diet","3",-0.056,0.006,0,87.2
"Smoking","3",-0.343,0,0,87.2
"Alcohol","3",-0.157,0.005,0,87.2
"Physical Inactivity","4",0.234,0.026,0,5.6
"Sleep Problems","4",0.212,0.026,0,5.6
"Unhealthy Diet","4",0.53,0.024,0,5.6
"Smoking","4",3.593,0.003,0,5.6
"Alcohol","4",1.352,0.027,0,5.6
