"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.043,0.019,0.027,67.6
"Sleep Problems","1",-0.477,0.01,0,67.6
"Unhealthy Diet","1",-0.154,0.019,0,67.6
"Smoking","1",-0.353,0,0,67.6
"Alcohol","1",-0.23,0.015,0,67.6
"Physical Inactivity","2",0.263,0.076,0.001,5
"Sleep Problems","2",0.485,0.083,0,5
"Unhealthy Diet","2",0.207,0.075,0.006,5
"Smoking","2",3.623,0,0,5
"Alcohol","2",1.128,0.074,0,5
"Physical Inactivity","3",0.147,0.039,0,19.9
"Sleep Problems","3",1.632,0.023,0,19.9
"Unhealthy Diet","3",-0.055,0.039,0.152,19.9
"Smoking","3",-0.353,0,0,19.9
"Alcohol","3",-0.133,0.032,0,19.9
"Physical Inactivity","4",0.1,0.059,0.091,7.6
"Sleep Problems","4",0.286,0.064,0,7.6
"Unhealthy Diet","4",-0.004,0.056,0.946,7.6
"Smoking","4",1.605,0.038,0,7.6
"Alcohol","4",0.779,0.058,0,7.6
