"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.437,0.113,0,2.2
"Sleep Problems","1",0.609,0.131,0,2.2
"Unhealthy Diet","1",0.267,0.11,0.015,2.2
"Smoking","1",3.87,0.033,0,2.2
"Alcohol","1",1.066,0.167,0,2.2
"Physical Inactivity","2",-0.103,0.015,0,95.4
"Sleep Problems","2",0.004,0.015,0.786,95.4
"Unhealthy Diet","2",-0.285,0.015,0,95.4
"Smoking","2",-0.285,0.002,0,95.4
"Alcohol","2",-0.403,0.008,0,95.4
"Physical Inactivity","3",0.264,0.099,0.008,2.4
"Sleep Problems","3",0.533,0.122,0,2.4
"Unhealthy Diet","3",0.222,0.104,0.033,2.4
"Smoking","3",1.718,0.062,0,2.4
"Alcohol","3",0.942,0.137,0,2.4
