"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.034,0.062,0.586,7.7
"Sleep Problems","1",0.005,0.058,0.937,7.7
"Undietary Behavior","1",0.238,0.058,0,7.7
"Smoking","1",1.551,0.038,0,7.7
"Alcohol","1",1.014,0.064,0,7.7
"Physical Inactivity","2",-0.177,0.044,0,16.9
"Sleep Problems","2",1.498,0.032,0,16.9
"Undietary Behavior","2",0.156,0.044,0,16.9
"Smoking","2",-0.353,0,0,16.9
"Alcohol","2",0.203,0.043,0,16.9
"Physical Inactivity","3",-0.177,0.02,0,69.8
"Sleep Problems","3",-0.533,0.011,0,69.8
"Undietary Behavior","3",0.069,0.019,0,69.8
"Smoking","3",-0.353,0,0,69.8
"Alcohol","3",0.072,0.019,0,69.8
"Physical Inactivity","4",0.162,0.075,0.03,5.7
"Sleep Problems","4",0.138,0.074,0.063,5.7
"Undietary Behavior","4",0.265,0.074,0,5.7
"Smoking","4",3.623,0,0,5.7
"Alcohol","4",1.581,0.068,0,5.7
