"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.076,0.016,0,89.4
"Sleep Problems","1",-0.252,0.015,0,89.4
"Unhealthy Diet","1",0.061,0.016,0,89.4
"Smoking","1",-0.291,0,0,89.4
"Alcohol","1",0.135,0.016,0,89.4
"Physical Inactivity","2",0.107,0.074,0.15,5.2
"Sleep Problems","2",0.017,0.07,0.807,5.2
"Unhealthy Diet","2",0.477,0.069,0,5.2
"Smoking","2",1.792,0.049,0,5.2
"Alcohol","2",1.372,0.079,0,5.2
"Physical Inactivity","3",0.265,0.074,0,5.4
"Sleep Problems","3",-0.058,0.068,0.396,5.4
"Unhealthy Diet","3",0.735,0.074,0,5.4
"Smoking","3",4.189,0,0,5.4
"Alcohol","3",1.646,0.082,0,5.4
