"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.039,0.008,0,95.7
"Sleep Problems","1",0.062,0.008,0,95.7
"Unhealthy Diet","1",-0.134,0.008,0,95.7
"Smoking","1",-0.251,0.001,0,95.7
"Alcohol","1",-0.437,0.005,0,95.7
"Physical Inactivity","2",0.321,0.069,0,2.4
"Sleep Problems","2",0.67,0.057,0,2.4
"Unhealthy Diet","2",0.685,0.059,0,2.4
"Smoking","2",4.425,0.016,0,2.4
"Alcohol","2",1.312,0.086,0,2.4
"Physical Inactivity","3",0.305,0.067,0,1.9
"Sleep Problems","3",0.545,0.064,0,1.9
"Unhealthy Diet","3",0.426,0.058,0,1.9
"Smoking","3",2.026,0.038,0,1.9
"Alcohol","3",0.683,0.068,0,1.9
