"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.004,0.08,0.964,4
"Sleep Problems","1",0.257,0.087,0.003,4
"Unhealthy Diet","1",0.124,0.069,0.072,4
"Smoking","1",3.453,0,0,4
"Alcohol","1",0.685,0.093,0,4
"Physical Inactivity","2",0.045,0.041,0.271,15.6
"Sleep Problems","2",1.92,0.035,0,15.6
"Unhealthy Diet","2",-0.11,0.041,0.007,15.6
"Smoking","2",-0.351,0,0,15.6
"Alcohol","2",-0.362,0.03,0,15.6
"Physical Inactivity","3",-0.126,0.017,0,77
"Sleep Problems","3",-0.416,0.009,0,77
"Unhealthy Diet","3",-0.326,0.016,0,77
"Smoking","3",-0.351,0,0,77
"Alcohol","3",-0.525,0.01,0,77
"Physical Inactivity","4",0.108,0.084,0.198,3.5
"Sleep Problems","4",0.262,0.097,0.007,3.5
"Unhealthy Diet","4",0.243,0.074,0.001,3.5
"Smoking","4",1.563,0.051,0,3.5
"Alcohol","4",0.486,0.085,0,3.5
