"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.049,0.103,0.634,2.9
"Sleep Problems","1",0.443,0.099,0,2.9
"Unhealthy Diet","1",0.581,0.089,0,2.9
"Smoking","1",4.189,0,0,2.9
"Alcohol","1",1.616,0.102,0,2.9
"Physical Inactivity","2",0.036,0.075,0.636,4.1
"Sleep Problems","2",0.342,0.08,0,4.1
"Unhealthy Diet","2",0.226,0.072,0.002,4.1
"Smoking","2",1.748,0.054,0,4.1
"Alcohol","2",1.086,0.088,0,4.1
"Physical Inactivity","3",-0.027,0.016,0.08,93
"Sleep Problems","3",0.109,0.017,0,93
"Unhealthy Diet","3",-0.184,0.015,0,93
"Smoking","3",-0.291,0,0,93
"Alcohol","3",-0.267,0.012,0,93
