"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.491,0.04,0,10.2
"Sleep Problems","1",0.111,0.043,0.009,10.2
"Unhealthy Diet","1",0.394,0.042,0,10.2
"Smoking","1",1.46,0.027,0,10.2
"Alcohol","1",1.057,0.043,0,10.2
"Physical Inactivity","2",0.428,0.059,0,7
"Sleep Problems","2",-0.01,0.054,0.852,7
"Unhealthy Diet","2",0.415,0.058,0,7
"Smoking","2",-0.352,0,0,7
"Alcohol","2",1.809,0.043,0,7
"Physical Inactivity","3",0.251,0.017,0,73.4
"Sleep Problems","3",-0.156,0.015,0,73.4
"Unhealthy Diet","3",0.143,0.015,0,73.4
"Smoking","3",-0.352,0,0,73.4
"Alcohol","3",-0.347,0.01,0,73.4
"Physical Inactivity","4",0.795,0.042,0,9.5
"Sleep Problems","4",0.148,0.046,0.001,9.5
"Unhealthy Diet","4",0.721,0.044,0,9.5
"Smoking","4",3.531,0,0,9.5
"Alcohol","4",1.635,0.044,0,9.5
