"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.456,0.05,0,3.7
"Sleep Problems","1",0.354,0.047,0,3.7
"Unhealthy Diet","1",0.857,0.047,0,3.7
"Smoking","1",5.09,0,0,3.7
"Alcohol","1",1.703,0.059,0,3.7
"Physical Inactivity","2",0.031,0.008,0,91
"Sleep Problems","2",-0.009,0.008,0.288,91
"Unhealthy Diet","2",0.046,0.008,0,91
"Smoking","2",-0.257,0,0,91
"Alcohol","2",-0.046,0.008,0,91
"Physical Inactivity","3",0.213,0.037,0,5.3
"Sleep Problems","3",0.344,0.037,0,5.3
"Unhealthy Diet","3",0.458,0.036,0,5.3
"Smoking","3",2.173,0.03,0,5.3
"Alcohol","3",1.315,0.043,0,5.3
