"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.078,0.018,0,92
"Sleep Problems","1",-0.093,0.017,0,92
"Unhealthy Diet","1",0.092,0.017,0,92
"Smoking","1",-0.305,0,0,92
"Alcohol","1",-0.281,0.014,0,92
"Physical Inactivity","2",0.163,0.111,0.144,3.2
"Sleep Problems","2",0.357,0.104,0.001,3.2
"Unhealthy Diet","2",0.598,0.094,0,3.2
"Smoking","2",4.059,0,0,3.2
"Alcohol","2",1.105,0.088,0,3.2
"Physical Inactivity","3",0.109,0.083,0.19,4.8
"Sleep Problems","3",0.259,0.081,0.001,4.8
"Unhealthy Diet","3",0.373,0.081,0,4.8
"Smoking","3",1.676,0.054,0,4.8
"Alcohol","3",0.822,0.08,0,4.8
