"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.361,0.043,0,9.6
"Sleep Problems","1",0.062,0.046,0.184,9.6
"Unhealthy Diet","1",0.726,0.045,0,9.6
"Smoking","1",1.811,0.034,0,9.6
"Alcohol","1",1.469,0.051,0,9.6
"Physical Inactivity","2",0.265,0.016,0,83.2
"Sleep Problems","2",-0.098,0.015,0,83.2
"Unhealthy Diet","2",0.298,0.015,0,83.2
"Smoking","2",-0.283,0,0,83.2
"Alcohol","2",0.053,0.014,0,83.2
"Physical Inactivity","3",0.556,0.056,0,7.2
"Sleep Problems","3",0.056,0.056,0.317,7.2
"Unhealthy Diet","3",1.138,0.057,0,7.2
"Smoking","3",4.583,0,0,7.2
"Alcohol","3",2.07,0.059,0,7.2
