"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.104,0.041,0.012,3.7
"Sleep Problems","1",0.26,0.045,0,3.7
"Unhealthy Diet","1",0.325,0.039,0,3.7
"Smoking","1",0.896,0.009,0,3.7
"Alcohol","1",0.838,0.05,0,3.7
"Physical Inactivity","2",0.158,0.039,0,5.8
"Sleep Problems","2",0.345,0.037,0,5.8
"Unhealthy Diet","2",0.482,0.035,0,5.8
"Smoking","2",3.615,0.003,0,5.8
"Alcohol","2",1.526,0.048,0,5.8
"Physical Inactivity","3",0.201,0.054,0,2.3
"Sleep Problems","3",0.276,0.057,0,2.3
"Unhealthy Diet","3",0.317,0.054,0,2.3
"Smoking","3",2.252,0.01,0,2.3
"Alcohol","3",1.097,0.069,0,2.3
"Physical Inactivity","4",-0.02,0.009,0.02,88.1
"Sleep Problems","4",-0.041,0.008,0,88.1
"Unhealthy Diet","4",-0.054,0.008,0,88.1
"Smoking","4",-0.332,0,0,88.1
"Alcohol","4",-0.165,0.007,0,88.1
