"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.056,0.021,0.007,68.5
"Sleep Problems","1",-0.512,0.013,0,68.5
"Unhealthy Diet","1",-0.053,0.021,0.011,68.5
"Smoking","1",-0.378,0,0,68.5
"Alcohol","1",-0.111,0.018,0,68.5
"Physical Inactivity","2",0.068,0.064,0.292,7.4
"Sleep Problems","2",0.221,0.064,0.001,7.4
"Unhealthy Diet","2",0.302,0.068,0,7.4
"Smoking","2",1.223,0.035,0,7.4
"Alcohol","2",1.002,0.065,0,7.4
"Physical Inactivity","3",0.123,0.048,0.01,16.7
"Sleep Problems","3",1.484,0.034,0,16.7
"Unhealthy Diet","3",0.123,0.047,0.01,16.7
"Smoking","3",-0.378,0,0,16.7
"Alcohol","3",0.078,0.045,0.08,16.7
"Physical Inactivity","4",0.304,0.068,0,7.4
"Sleep Problems","4",0.179,0.065,0.006,7.4
"Unhealthy Diet","4",0.58,0.063,0,7.4
"Smoking","4",3.266,0,0,7.4
"Alcohol","4",1.456,0.07,0,7.4
