"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.099,0.017,0,56.2
"Sleep Problems","1",-0.704,0.009,0,56.2
"Undietary Behavior","1",-0.144,0.017,0,56.2
"Smoking","1",-0.331,0,0,56.2
"Alcohol","1",-0.171,0.015,0,56.2
"Physical Inactivity","2",-0.001,0.055,0.986,5.6
"Sleep Problems","2",0.264,0.055,0,5.6
"Undietary Behavior","2",0.229,0.056,0,5.6
"Smoking","2",1.058,0,0,5.6
"Alcohol","2",0.826,0.061,0,5.6
"Physical Inactivity","3",0.076,0.047,0.107,8.6
"Sleep Problems","3",0.244,0.046,0,8.6
"Undietary Behavior","3",0.32,0.044,0,8.6
"Smoking","3",3.332,0.029,0,8.6
"Alcohol","3",1.417,0.054,0,8.6
"Physical Inactivity","4",-0.039,0.025,0.123,29.6
"Sleep Problems","4",1.094,0.013,0,29.6
"Undietary Behavior","4",-0.072,0.026,0.006,29.6
"Smoking","4",-0.331,0,0,29.6
"Alcohol","4",-0.1,0.022,0,29.6
