"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.079,0.014,0,85.8
"Sleep Problems","1",-0.084,0.014,0,85.8
"Unhealthy Diet","1",-0.119,0.014,0,85.8
"Smoking","1",-0.331,0,0,85.8
"Alcohol","1",-0.147,0.012,0,85.8
"Physical Inactivity","2",-0.001,0.055,0.981,5.6
"Sleep Problems","2",0.265,0.055,0,5.6
"Unhealthy Diet","2",0.228,0.056,0,5.6
"Smoking","2",1.058,0,0,5.6
"Alcohol","2",0.826,0.061,0,5.6
"Physical Inactivity","3",0.075,0.047,0.11,8.6
"Sleep Problems","3",0.245,0.046,0,8.6
"Unhealthy Diet","3",0.319,0.044,0,8.6
"Smoking","3",3.332,0.029,0,8.6
"Alcohol","3",1.418,0.054,0,8.6
