"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.115,0.034,0.001,25.6
"Sleep Problems","1",1.426,0.016,0,25.6
"Unhealthy Diet","1",0.059,0.035,0.088,25.6
"Smoking","1",-0.297,0,0,25.6
"Alcohol","1",-0.212,0.024,0,25.6
"Physical Inactivity","2",-0.005,0.08,0.949,5.1
"Sleep Problems","2",0.288,0.13,0.027,5.1
"Unhealthy Diet","2",0.02,0.079,0.803,5.1
"Smoking","2",-0.297,0,0,5.1
"Alcohol","2",2.395,0.091,0,5.1
"Physical Inactivity","3",-0.077,0.021,0,60.5
"Sleep Problems","3",-0.574,0.01,0,60.5
"Unhealthy Diet","3",-0.085,0.021,0,60.5
"Smoking","3",-0.297,0,0,60.5
"Alcohol","3",-0.277,0.017,0,60.5
"Physical Inactivity","4",0.053,0.078,0.499,4.3
"Sleep Problems","4",0.335,0.084,0,4.3
"Unhealthy Diet","4",0.273,0.075,0,4.3
"Smoking","4",1.352,0,0,4.3
"Alcohol","4",1.274,0.093,0,4.3
"Physical Inactivity","5",0.12,0.086,0.165,4.6
"Sleep Problems","5",0.399,0.086,0,4.6
"Unhealthy Diet","5",0.286,0.078,0,4.6
"Smoking","5",3.924,0.062,0,4.6
"Alcohol","5",1.476,0.1,0,4.6
